20110905093544 CRAWL RESUMED - Running
           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2011-09-05T10:43:25Z        1911           2         1909          0(0.47)      0(19)             0             0        18563         25664            1           0           2
2011-09-05T10:43:45Z        1911           2         1909          0(0.47)      0(19)             0             0        18617         25664            1           0           2
2011-09-05T10:44:05Z        1911           2         1909          0(0.47)      0(19)             0             0        18696         25664            1           0           2
2011-09-05T10:44:25Z        1911           2         1909          0(0.46)      0(18)             0             0        18768         25664            1           0           2
2011-09-05T10:44:45Z        1911           2         1909          0(0.46)      0(18)             0             0        18832         25664            1           0           2
2011-09-05T10:45:05Z        1911           2         1909          0(0.46)      0(18)             0             0        18940         25664            1           0           2
2011-09-05T10:45:25Z        1911           2         1909          0(0.46)      0(18)             0             0        18989         25664            1           0           2
2011-09-05T10:45:45Z        1911           2         1909          0(0.45)      0(18)             0             0        19110         25664            1           0           2
2011-09-05T10:46:05Z        1911           2         1909          0(0.45)      0(18)             0             0        19143         25664            1           0           2
2011-09-05T10:46:25Z        1911           2         1909          0(0.45)      0(18)             0             0        19241         25664            1           0           2
2011-09-05T10:46:45Z        1911           2         1909          0(0.45)      0(18)             0             0        19298         25664            1           0           2
2011-09-05T10:47:05Z        1911           2         1909          0(0.45)      0(18)             0             0        19373         25664            1           0           2
2011-09-05T10:47:25Z        1911           2         1909          0(0.44)      0(18)             0             0        19446         25664            1           0           2
2011-09-05T10:47:45Z        1911           2         1909          0(0.44)      0(18)             0             0        19507         25664            1           0           2
2011-09-05T10:48:05Z        1911           2         1909          0(0.44)      0(18)             0             0        19597         25664            1           0           2
2011-09-05T10:48:25Z        1911           2         1909          0(0.44)      0(17)             0             0        19648         25664            1           0           2
2011-09-05T10:48:45Z        1911           2         1909          0(0.44)      0(17)             0             0        15934         25536            1           0           2
2011-09-05T10:49:05Z        1911           2         1909          0(0.43)      0(17)             0             0        15953         25536            1           0           2
2011-09-05T10:49:25Z        1911           2         1909          0(0.43)      0(17)             0             0        16067         25536            1           0           2
